OrderID,OrderDate,Region,Category,Sub-Category,Product,Quantity,UnitPrice,Sales,Profit,Discount,CustomerID,YearMonth,ProfitMargin,Month
ORD-100000,2019-12-02,Central,Technology,Phones,Chairs Model 5 (Fur),3,715.84,2147.52,-69.95,0.0,CUST-1313,2019-12-01,-0.03257245566979586,2019-12
ORD-100001,2018-01-28,East,Technology,Machines,Paper Model 9 (Off),3,294.97,884.91,97.04,0.0,CUST-1054,2018-01-01,0.10966086946695146,2018-01
ORD-100002,2018-10-29,South,Office Supplies,Paper,Bookcases Model 3 (Fur),3,5.0,15.0,3.51,0.0,CUST-1385,2018-10-01,0.23399999999999999,2018-10
ORD-100003,2018-09-02,East,Office Supplies,Storage,Accessories Model 10 (Tec),2,56.62,113.24,21.02,0.0,CUST-1389,2018-09-01,0.18562345460967855,2018-09
ORD-100004,2020-03-17,East,Furniture,Furnishings,Accessories Model 4 (Tec),6,308.4,1850.4,396.47,0.05,CUST-1236,2020-03-01,0.21426178123648942,2020-03
ORD-100005,2020-01-11,West,Furniture,Bookcases,Tables Model 4 (Fur),3,648.4,1945.2,369.31,0.05,CUST-1260,2020-01-01,0.18985708410446225,2020-01
ORD-100006,2020-09-03,South,Office Supplies,Binders,Phones Model 1 (Tec),3,62.19,186.57,82.15,0.0,CUST-1213,2020-09-01,0.44031730717693096,2020-09
ORD-100007,2018-04-06,East,Office Supplies,Paper,Binders Model 9 (Off),7,11.9,83.3,19.41,0.0,CUST-1221,2018-04-01,0.23301320528211286,2018-04
ORD-100008,2019-04-08,West,Furniture,Tables,Storage Model 9 (Off),6,205.15,1230.9,57.56,0.0,CUST-1339,2019-04-01,0.04676253148103014,2019-04
ORD-100009,2018-02-02,South,Office Supplies,Storage,Art Model 9 (Off),2,32.1,64.2,10.35,0.1,CUST-1358,2018-02-01,0.16121495327102803,2018-02
ORD-100010,2018-08-28,West,Furniture,Tables,Bookcases Model 9 (Fur),3,30.47,91.41,5.67,0.0,CUST-1317,2018-08-01,0.06202822448309813,2018-08
ORD-100011,2019-07-08,East,Office Supplies,Art,Chairs Model 2 (Fur),3,25.75,77.25,18.18,0.0,CUST-1223,2019-07-01,0.23533980582524272,2019-07
ORD-100012,2018-01-30,West,Office Supplies,Storage,Bookcases Model 2 (Fur),4,29.18,116.72,2.53,0.0,CUST-1097,2018-01-01,0.021675805346127484,2018-01
ORD-100013,2018-08-06,South,Technology,Copiers,Art Model 2 (Off),4,266.35,1065.4,74.92,0.05,CUST-1147,2018-08-01,0.07032100619485639,2018-08
ORD-100014,2019-12-13,Central,Technology,Machines,Storage Model 5 (Off),4,263.54,1054.16,152.14,0.05,CUST-1059,2019-12-01,0.1443234423616908,2019-12
ORD-100015,2019-08-20,South,Furniture,Bookcases,Phones Model 8 (Tec),4,333.42,1333.68,290.66,0.0,CUST-1160,2019-08-01,0.21793833603263152,2019-08
ORD-100016,2018-08-30,East,Technology,Copiers,Art Model 3 (Off),3,494.34,1483.02,-42.37,0.0,CUST-1337,2018-08-01,-0.02857007997194913,2018-08
ORD-100017,2019-10-08,South,Technology,Copiers,Machines Model 10 (Tec),2,133.99,267.98,47.56,0.05,CUST-1194,2019-10-01,0.17747593103962983,2019-10
ORD-100018,2020-06-05,East,Office Supplies,Paper,Phones Model 8 (Tec),3,38.07,114.21,30.97,0.0,CUST-1225,2020-06-01,0.27116714823570615,2020-06
ORD-100019,2018-01-08,Central,Technology,Phones,Tables Model 8 (Fur),5,43.35,216.75,33.75,0.05,CUST-1036,2018-01-01,0.15570934256055363,2018-01
